,id,publish_date,sold_date,days_to_sell
0,6,2016-03-27,2016-04-30,34
1,9,2016-03-27,2016-04-07,11
2,11,2016-03-27,2016-04-16,20
3,15,2016-03-27,2016-04-07,11
4,20,2016-03-27,2016-05-14,48
5,31,2016-03-27,2016-04-07,11
6,33,2016-03-27,2016-04-16,20
7,36,2016-03-27,2016-05-09,43
8,37,2016-03-27,2016-04-07,11
9,38,2016-03-27,2016-06-01,66
10,39,2016-03-27,2016-04-21,25
11,43,2016-03-27,2016-04-30,34
12,45,2016-03-27,2016-04-20,24
13,47,2016-03-27,2016-04-07,11
14,48,2016-03-27,2016-04-22,26
15,51,2016-03-27,2016-04-07,11
16,54,2016-03-27,2016-04-07,11
17,77,2016-03-27,2016-04-07,11
18,81,2016-03-27,2016-04-07,11
19,84,2016-03-27,2016-04-08,12
20,87,2016-03-27,2016-04-07,11
21,89,2016-03-27,2016-06-17,82
22,90,2016-03-27,2016-04-16,20
23,91,2016-03-27,2016-04-16,20
24,94,2016-03-27,2016-04-07,11
25,95,2016-03-27,2016-04-07,11
26,96,2016-03-27,2016-05-20,54
27,104,2016-03-27,2016-06-25,90
28,105,2016-03-27,2016-04-20,24
29,106,2016-03-27,2016-04-30,34
30,115,2016-03-27,2016-04-30,34
31,121,2016-03-27,2016-04-16,20
32,124,2016-03-27,2016-04-16,20
33,135,2016-03-27,2016-04-07,11
34,140,2016-03-27,2016-05-30,64
35,141,2016-03-27,2016-04-07,11
36,146,2016-03-27,2016-04-07,11
37,156,2016-03-27,2016-04-09,13
38,170,2016-03-27,2016-04-07,11
39,171,2016-03-27,2016-04-08,12
40,172,2016-03-27,2016-04-07,11
41,174,2016-03-27,2016-04-07,11
42,175,2016-03-27,2016-04-16,20
43,179,2016-03-27,2016-04-09,13
44,180,2016-03-27,2016-04-30,34
45,184,2016-03-27,2016-04-16,20
46,208,2016-03-27,2016-06-02,67
47,217,2016-03-27,2016-04-09,13
48,219,2016-03-27,2016-04-16,20
49,226,2016-03-27,2016-04-30,34
50,230,2016-03-27,2016-04-16,20
51,246,2016-03-27,2016-04-24,28
52,249,2016-03-27,2016-05-19,53
53,255,2016-03-27,2016-04-24,28
54,266,2016-03-27,2016-04-21,25
55,312,2016-03-27,2016-04-16,20
56,314,2016-03-27,2016-04-07,11
57,316,2016-03-27,2016-04-16,20
58,325,2016-03-27,2016-04-30,34
59,333,2016-03-27,2016-04-21,25
60,338,2016-03-27,2016-04-16,20
61,342,2016-03-27,2016-04-07,11
62,360,2016-03-27,2016-04-16,20
63,367,2016-03-27,2016-05-05,39
64,373,2016-03-27,2016-04-07,11
65,379,2016-03-27,2016-04-07,11
66,386,2016-03-27,2016-04-07,11
67,389,2016-03-27,2016-04-16,20
68,391,2016-03-27,2016-04-16,20
69,392,2016-03-27,2016-04-16,20
70,418,2016-03-27,2016-04-07,11
71,447,2016-03-27,2016-04-09,13
72,450,2016-03-27,2016-04-09,13
73,463,2016-03-27,2016-06-08,73
74,464,2016-03-27,2016-05-18,52
75,465,2016-03-27,2016-04-30,34
76,466,2016-03-27,2016-04-24,28
77,470,2016-03-27,2016-05-24,58
78,480,2016-03-27,2016-04-16,20
79,482,2016-03-27,2016-04-08,12
80,483,2016-03-27,2016-04-16,20
81,485,2016-03-27,2016-04-16,20
82,487,2016-03-27,2016-04-22,26
83,525,2016-03-27,2016-06-01,66
84,529,2016-03-27,2016-04-16,20
85,530,2016-03-27,2016-04-16,20
86,532,2016-03-27,2016-04-16,20
87,544,2016-03-27,2016-04-07,11
88,548,2016-03-27,2016-04-19,23
89,583,2016-03-27,2016-04-07,11
90,586,2016-03-27,2016-04-07,11
91,591,2016-03-27,2016-04-07,11
92,603,2016-03-27,2016-04-16,20
93,605,2016-03-27,2016-04-07,11
94,606,2016-03-27,2016-04-16,20
95,608,2016-03-27,2016-04-24,28
